360;8;19222345;0
885;0;19402380;1
364;0;19830075;2
499;0;19518754;3
828;0;19077715;4
949;0;19267863;5
502;3;19219617;6
433;5;19629261;7
57;1;19771358;8
548;5;19382021;9
904;2;19688022;10
783;4;19445941;11
409;8;19629126;12
443;0;19011681;13
27;1;19244829;14
392;5;19528359;15
295;8;19727738;16
378;7;19769496;17
378;1;19566128;18
566;8;19053072;19
788;1;19582832;20
187;7;19722608;21
605;7;19634082;22
172;3;19411503;23
832;0;19318041;24
297;5;19604785;25
384;8;19357066;26
686;8;19007728;27
528;4;19983526;28
818;3;19140575;29
805;3;19298376;30
128;5;19048367;31
307;8;19666033;32
336;0;19674540;33
708;4;19349381;34
282;2;19160758;35
302;0;19724895;36
877;0;19451992;37
943;7;19109806;38
76;3;19188232;39
978;2;19899582;40
295;0;19019688;41
761;7;19883291;42
434;2;19492797;43
38;5;19164233;44
703;8;19305802;45
467;5;19560695;46
314;4;19545720;47
790;6;19053269;48
257;1;19998015;49
131;4;19246537;50
22;2;19505423;51
576;3;19749570;52
879;4;19866941;53
557;0;19285815;54
216;4;19869839;55
448;0;19512804;56
186;8;19679101;57
761;4;19368873;58
352;3;19146797;59
143;4;19030411;60
77;8;19309571;61
74;6;19631298;62
573;8;19811184;63
430;3;19997354;64
42;3;19598916;65
500;3;19123807;66
313;7;19611639;67
199;1;19673159;68
392;1;19402396;69
207;7;19703847;70
80;8;19552138;71
125;8;19325854;72
165;0;19151464;73
20;0;19296164;74
99;2;19605370;75
477;2;19352353;76
507;0;19088441;77
468;5;19583805;78
610;0;19414920;79
534;1;19463421;80
865;3;19144770;81
344;5;19524079;82
771;2;19912271;83
261;4;19638770;84
265;1;19211613;85
881;0;19635716;86
191;6;19912318;87
206;6;19593942;88
446;5;19298601;89
478;8;19774008;90
181;2;19357508;91
219;0;19255533;92
508;1;19792390;93
496;8;19099943;94
834;5;19955961;95
352;1;19214951;96
126;7;19711220;97
906;3;19157362;98
54;2;19502845;99
346;6;19323268;100
259;1;19505004;101
607;7;19398949;102
609;4;19186953;103
326;6;19500864;104
568;0;19572564;105
928;0;19147329;106
226;4;19665928;107
827;2;19465452;108
593;7;19258421;109
280;1;19841834;110
630;3;19643735;111
883;7;19430693;112
982;8;19651136;113
98;4;19504519;114
343;0;19102937;115
881;3;19895008;116
780;7;19033507;117
69;3;19660716;118
841;6;19232018;119
930;3;19426308;120
28;6;19332010;121
255;1;19469991;122
534;5;19444486;123
885;3;19853262;124
548;6;19378689;125
47;2;19562560;126
770;4;19711600;127
672;3;19497356;128
960;6;19233251;129
889;2;19034275;130
836;6;19724601;131
353;2;19022351;132
555;8;19216477;133
512;6;19230034;134
635;4;19164959;135
367;5;19138932;136
753;0;19678107;137
845;3;19340965;138
401;3;19592616;139
561;4;19782169;140
399;7;19863172;141
0;7;19455006;142
